"Customer Name","Order Date","Items Count"
"Wartian Herkku","1996-10-03","1"
"Wartian Herkku","1996-10-18","3"
"Wartian Herkku","1997-01-13","1"
"Wartian Herkku","1997-01-16","3"
"Wartian Herkku","1997-02-05","1"
"Wellington Importadora","1996-07-15","2"
"Wellington Importadora","1997-01-21","4"
"White Clover Markets","1996-07-31","2"
"White Clover Markets","1996-11-01","2"
"Wilman Kala","1996-07-04","3"
"Wolski","1996-12-05","2"
